# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
axle;59;1416429257;7324608;257199816;97.23;168328;51593772;209783756;76.87
axle;60;1416429317;4728428;259795996;98.21;168420;51285152;212716512;77.94
axle;60;1416429377;4361612;260162812;98.35;168496;51317844;213039572;78.06
axle;60;1416429437;4779708;259744716;98.19;168588;51386680;212609172;77.90
axle;60;1416429497;7784536;256739888;97.06;168676;51391076;209592720;76.80
axle;60;1416429557;5508760;259015664;97.92;168780;51488300;211765528;77.60
axle;60;1416429617;3940888;260583536;98.51;168880;52047672;212721840;77.95
axle;60;1416429677;6647836;257876588;97.49;168984;51500236;210664796;77.19
axle;60;1416429737;8008732;256515692;96.97;169056;51533380;209237512;76.67
axle;60;1416429797;4869904;259654520;98.16;169140;52349196;211536048;77.51
